species	data collected	plot	sex	weight (g)	scale calibrated		
DM	2014-01-09	1	M	40	yes		
DM	2014-01-09	1	F	36	yes		
DM	2014-03-13	1	F	51	yes		
DM	2014-03-13	1	F	44	yes		
NA	2014-01-08	2	null	null	yes		
DM	2014-01-08	2	M	44	yes		
PF	2014-01-08	2	F	7	yes		
DM	2014-01-08	2	M	45	yes		
OT	2014-01-08	2	null	null	yes		
DS	2014-01-08	2	M	157	no		
OX	2014-01-08	2	null	null	yes		
NA	2014-02-18	2	M	218	no		
PF	2014-02-18	2	F	7	yes		
DM	2014-02-18	2	M	52	yes		
PF	2015-03-11	3	null	8	yes		
NA	2015-05-06	3	null	null	yes		
null	2015-04-08	3	null	null	yes		
NA	2014-05-18	3	null	182	yes		
OT	2015-06-09	3	null	29	yes		
NA	2015-07-08	3	null	115	yes		
NA	2015-07-08	3	null	190	yes		
DM	1978-01-08	4	F	37	yes		
DM	1978-01-08	4	M	null	yes		
DM	1978-01-08	4	F	48	yes		
DO	1978-01-08	4	M	52	yes		
OL	1978-01-08	4	M	35	yes		
DM	2013-07-16	2	F	null	null		
DM	2013-07-16	7	M	33	null		
DM	2013-07-16	3	M	null	null		
DM	2013-07-16	1	M	null	null		
DM	2013-07-18	3	M	40	null		
DM	2013-07-18	7	M	48	null		
DM	2013-07-18	4	F	29	null		
DM	2013-07-18	6	F	37	null		
DO	2013-08-19	8	F	52	null		
DO	2013-10-17	3	F	33	null		
DO	2013-10-17	3	F	50	null		
DO	2013-12-10	9	F	40	null		
DO	2013-12-10	1	M	45	null		
DO	2013-12-11	8	F	41	null		
DS	2013-11-12	9	F	117	null		
DS	2013-11-13	11	F	126	yes		
DS	2013-11-13	17	M	132	no		
DS	2013-11-13	14	F	113	no		
DS	2013-11-13	11	F	122	yes		
DS	2013-11-13	4	F	107	yes		
DS	2013-11-13	4	F	115	yes		
